№,Code,Browser,CLDR Short Name
2032,U+1F3A5,🎥,movie camera
2033,U+1F39E,🎞,film frames
2034,U+1F4FD,📽,film projector
2035,U+1F3AC,🎬,clapper board
2036,U+1F4FA,📺,television
2037,U+1F4F7,📷,camera
2038,U+1F4F8,📸,camera with flash
2039,U+1F4F9,📹,video camera
2040,U+1F4FC,📼,videocassette
2041,U+1F50D,🔍,magnifying glass tilted left
2042,U+1F50E,🔎,magnifying glass tilted right
2043,U+1F52C,🔬,microscope
2044,U+1F52D,🔭,telescope
2045,U+1F4E1,📡,satellite antenna
2046,U+1F56F,🕯,candle
2047,U+1F4A1,💡,light bulb
2048,U+1F526,🔦,flashlight
2049,U+1F3EE,🏮,red paper lantern
